targetWord,age_group,pc,num_subjects
tapestry,5,0.6666666666666666,6
tapestry,6,0.6666666666666666,3
tapestry,7,0.5294117647058824,17
tapestry,8,0.723404255319149,47
tapestry,9,0.7763157894736842,75
tapestry,10,0.7777777777777778,45
tapestry,11,0.8333333333333334,18
tapestry,25,0.9423076923076923,52
teabag,3,0.6,5
teabag,4,1,2
teabag,5,0.8,5
teabag,6,0.75,4
teabag,7,0.9285714285714286,13
teabag,8,0.8611111111111112,36
teabag,9,0.9411764705882353,67
teabag,10,0.8571428571428571,48
teabag,11,0.9523809523809523,21
teabag,25,0.9876543209876543,81
teapot,3,0.5,8
teapot,4,0.5,2
teapot,5,0.3333333333333333,3
teapot,6,0.75,4
